mundial,num,fecha,etapa,local,goles_local,goles_visitante,visitante,url_partido,url,fecha_scraping
2026,1,11-Jun-2026,"1ra Ronda, Grupo A",México,,,Sudáfrica,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,2,11-Jun-2026,"1ra Ronda, Grupo A",Corea del Sur,,,,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,3,12-Jun-2026,"1ra Ronda, Grupo B",Canadá,,,,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,4,12-Jun-2026,"1ra Ronda, Grupo D",Estados Unidos,,,Paraguay,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,5,13-Jun-2026,"1ra Ronda, Grupo C",Brasil,,,Marruecos,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,6,13-Jun-2026,"1ra Ronda, Grupo D",Australia,,,,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,7,13-Jun-2026,"1ra Ronda, Grupo C",Haití,,,Escocia,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,8,13-Jun-2026,"1ra Ronda, Grupo B",Catar,,,Suiza,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,9,14-Jun-2026,"1ra Ronda, Grupo E",Alemania,,,Curazao,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,10,14-Jun-2026,"1ra Ronda, Grupo E",Costa de Marfil,,,Ecuador,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,11,14-Jun-2026,"1ra Ronda, Grupo F",Paises Bajos,,,Japón,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,12,14-Jun-2026,"1ra Ronda, Grupo F",Túnez,,,,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,13,15-Jun-2026,"1ra Ronda, Grupo H",España,,,Cabo Verde,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,14,15-Jun-2026,"1ra Ronda, Grupo H",Arabia Saudita,,,Uruguay,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
