id_mundial,grupo,id_seleccion,posicion,pj,pg,pe,pp,gf,gc,dif,pts,clasificado
15,C,1,1,3,2,1,0,5,3,2,7,1
15,C,38,2,3,1,2,0,6,4,2,5,1
15,C,24,3,3,0,2,1,4,5,-1,2,0
15,C,10,4,3,0,1,2,1,4,-3,1,0
15,D,63,1,3,2,0,1,6,2,4,6,1
15,D,13,2,3,2,0,1,6,3,3,6,1
15,D,7,3,3,2,0,1,6,3,3,6,1
15,D,43,4,3,0,0,3,0,10,-10,0,0
15,E,62,1,3,1,1,1,3,3,0,4,1
15,E,51,2,3,1,1,1,2,2,0,4,1
15,E,56,3,3,1,1,1,2,2,0,4,1
15,E,64,4,3,1,1,1,1,1,0,4,0
15,F,66,1,3,2,0,1,4,3,1,6,1
15,F,5,2,3,2,0,1,4,3,1,6,1
15,F,14,3,3,2,0,1,2,1,1,6,1
15,F,61,4,3,0,0,3,2,5,-3,0,0
16,A,12,1,3,2,0,1,6,3,3,6,1
16,A,64,2,3,1,2,0,5,4,1,5,1
16,A,61,3,3,1,1,1,5,5,0,4,0
16,A,35,4,3,0,1,2,2,6,-4,1,0
16,B,56,1,3,2,1,0,7,3,4,7,1
16,B,20,2,3,0,3,0,4,4,0,3,1
16,B,9,3,3,0,2,1,3,4,-1,2,0
16,B,16,4,3,0,2,1,2,5,-3,2,0
16,C,40,1,3,3,0,0,9,1,8,9,1
16,C,30,2,3,1,1,1,3,3,0,4,1
16,C,80,3,3,0,2,1,3,6,-3,2,0
16,C,5,4,3,0,1,2,2,7,-5,1,0
16,D,63,1,3,2,0,1,5,5,0,6,1
16,D,68,2,3,1,2,0,3,1,2,5,1
16,D,38,3,3,1,1,1,8,4,4,4,0
16,D,13,4,3,0,1,2,1,7,-6,1,0
16,E,66,1,3,1,2,0,7,2,5,5,1
16,E,62,2,3,1,2,0,7,5,2,5,1
16,E,14,3,3,0,3,0,3,3,0,3,0
16,E,24,4,3,0,1,2,2,9,-7,1,0
16,F,1,1,3,2,1,0,6,2,4,7,1
16,F,73,2,3,2,1,0,4,2,2,7,1
16,F,53,3,3,1,0,2,2,4,-2,3,0
16,F,39,4,3,0,0,3,1,5,-4,0,0
16,G,75,1,3,2,1,0,4,2,2,7,1
16,G,49,2,3,2,0,1,5,2,3,6,1
16,G,22,3,3,1,0,2,1,3,-2,3,0
16,G,86,4,3,0,1,2,1,4,-3,1,0
16,H,7,1,3,3,0,0,7,0,7,9,1
16,H,27,2,3,2,0,1,4,2,2,6,1
16,H,57,3,3,1,0,2,3,9,-6,3,0
16,H,58,4,3,0,0,3,1,4,-3,0,0
17,A,30,1,3,2,1,0,5,2,3,7,1
17,A,77,2,3,1,2,0,5,4,1,5,1
17,A,89,3,3,0,2,1,4,5,-1,2,0
17,A,40,4,3,0,1,2,0,3,-3,1,0
17,B,38,1,3,3,0,0,9,4,5,9,1
17,B,68,2,3,1,1,1,6,6,0,4,1
17,B,80,3,3,1,1,1,5,5,0,4,0
17,B,37,4,3,0,0,3,2,7,-5,0,0
17,C,12,1,3,3,0,0,11,3,8,9,1
17,C,85,2,3,1,1,1,5,3,2,4,1
17,C,25,3,3,1,1,1,5,6,-1,4,0
17,C,21,4,3,0,0,3,0,9,-9,0,0
17,D,24,1,3,2,1,0,4,1,3,7,1
17,D,39,2,3,1,1,1,5,6,-1,4,1
17,D,71,3,3,1,0,2,6,4,2,3,0
17,D,70,4,3,1,0,2,3,7,-4,3,0
17,E,1,1,3,2,1,0,11,1,10,7,1
17,E,51,2,3,1,2,0,5,2,3,5,1
17,E,16,3,3,1,1,1,2,3,-1,4,0
17,E,5,4,3,0,0,3,0,12,-12,0,0
17,F,81,1,3,1,2,0,4,3,1,5,1
17,F,49,2,3,1,2,0,2,1,1,5,1
17,F,7,3,3,1,1,1,2,2,0,4,0
17,F,63,4,3,0,1,2,1,3,-2,1,0
17,G,62,1,3,2,1,0,4,2,2,7,1
17,G,56,2,3,1,1,1,4,3,1,4,1
17,G,27,3,3,1,0,2,2,3,-1,3,0
17,G,31,4,3,1,0,2,2,4,-2,3,0
17,H,58,1,3,2,1,0,5,2,3,7,1
17,H,14,2,3,1,2,0,6,5,1,5,1
17,H,76,3,3,1,0,2,4,4,0,3,0
17,H,86,4,3,0,1,2,1,5,-4,1,0
18,A,1,1,3,3,0,0,8,2,6,9,1
18,A,31,2,3,2,0,1,5,3,2,6,1
18,A,70,3,3,1,0,2,2,4,-2,3,0
18,A,25,4,3,0,0,3,3,9,-6,0,0
18,B,49,1,3,2,1,0,5,2,3,7,1
18,B,81,2,3,1,2,0,3,2,1,5,1
18,B,68,3,3,1,0,2,2,2,0,3,0
18,B,84,4,3,0,1,2,0,4,-4,1,0
18,C,7,1,3,2,1,0,8,1,7,7,1
18,C,66,2,3,2,1,0,3,1,2,7,1
18,C,26,3,3,1,0,2,5,6,-1,3,0
18,C,79,4,3,0,0,3,2,10,-8,0,0
18,D,71,1,3,3,0,0,5,1,4,9,1
18,D,62,2,3,1,1,1,4,3,1,4,1
18,D,4,3,3,0,2,1,1,2,-1,2,0
18,D,53,4,3,0,1,2,2,6,-4,1,0
18,E,56,1,3,2,1,0,5,1,4,7,1
18,E,42,2,3,2,0,1,4,3,1,6,1
18,E,74,3,3,1,0,2,3,4,-1,3,0
18,E,39,4,3,0,1,2,2,6,-4,1,0
18,F,12,1,3,3,0,0,7,1,6,9,1
18,F,8,2,3,1,1,1,5,5,0,4,1
18,F,27,3,3,0,2,1,2,3,-1,2,0
18,F,58,4,3,0,1,2,2,7,-5,1,0
18,G,82,1,3,2,1,0,4,0,4,7,1
18,G,40,2,3,1,2,0,3,1,2,5,1
18,G,24,3,3,1,1,1,3,4,-1,4,0
18,G,83,4,3,0,0,3,1,6,-5,0,0
18,H,38,1,3,3,0,0,8,1,7,9,1
18,H,88,2,3,2,0,1,5,4,1,6,1
18,H,86,3,3,0,1,2,3,6,-3,1,0
18,H,5,4,3,0,1,2,2,7,-5,1,0
19,A,89,1,3,2,1,0,4,0,4,7,1
19,A,62,2,3,1,1,1,3,2,1,4,1
19,A,80,3,3,1,1,1,3,5,-2,4,0
19,A,40,4,3,0,1,2,1,4,-3,1,0
19,B,7,1,3,3,0,0,7,1,6,9,1
19,B,24,2,3,1,1,1,5,6,-1,4,1
19,B,43,3,3,1,0,2,2,5,-3,3,0
19,B,63,4,3,0,1,2,3,5,-2,1,0
19,C,39,1,3,1,2,0,4,3,1,5,1
19,C,49,2,3,1,2,0,2,1,1,5,1
19,C,37,3,3,1,1,1,3,3,0,4,0
19,C,6,4,3,0,1,2,0,2,-2,1,0
19,D,1,1,3,2,0,1,5,1,4,6,1
19,D,42,2,3,1,1,1,2,2,0,4,1
19,D,8,3,3,1,1,1,3,6,-3,4,0
19,D,78,4,3,1,0,2,2,3,-1,3,0
19,E,66,1,3,3,0,0,5,1,4,9,1
19,E,58,2,3,2,0,1,4,2,2,6,1
19,E,30,3,3,1,0,2,3,6,-3,3,0
19,E,16,4,3,0,0,3,2,5,-3,0,0
19,F,68,1,3,1,2,0,3,1,2,5,1
19,F,36,2,3,1,1,1,4,5,-1,4,1
19,F,65,3,3,0,3,0,2,2,0,3,0
19,F,56,4,3,0,2,1,4,5,-1,2,0
19,G,12,1,3,2,1,0,5,2,3,7,1
19,G,71,2,3,1,2,0,7,0,7,5,1
19,G,26,3,3,1,1,1,4,3,1,4,0
19,G,23,4,3,0,0,3,1,12,-11,0,0
19,H,38,1,3,2,0,1,4,2,2,6,1
19,H,20,2,3,2,0,1,3,2,1,6,1
19,H,82,3,3,1,1,1,1,1,0,4,0
19,H,45,4,3,0,1,2,0,3,-3,1,0
20,A,12,1,3,2,1,0,7,2,5,7,1
20,A,62,2,3,2,1,0,4,1,3,7,1
20,A,27,3,3,1,0,2,6,6,0,3,0
20,A,16,4,3,0,0,3,1,9,-8,0,0
20,B,66,1,3,3,0,0,10,3,7,9,1
20,B,20,2,3,2,0,1,5,3,2,6,1
20,B,38,3,3,1,0,2,4,7,-3,3,0
20,B,8,4,3,0,0,3,3,9,-6,0,0
20,C,22,1,3,3,0,0,9,2,7,9,1
20,C,43,2,3,1,1,1,2,4,-2,4,1
20,C,26,3,3,1,0,2,4,5,-1,3,0
20,C,58,4,3,0,1,2,2,6,-4,1,0
20,D,25,1,3,2,1,0,4,1,3,7,1
20,D,89,2,3,2,0,1,4,4,0,6,1
20,D,56,3,3,1,0,2,2,3,-1,3,0
