id_jugador,source_url,nombre,nombre_completo,fecha_nacimiento,lugar_nacimiento,posicion,id_seleccion_actual,altura_cm,apodo,total_mundiales,total_partidos,total_goles,promedio_gol
5111,https://www.losmundialesdefutbol.com/jugadores/sebastian_larsson.php,Sebastian Larsson,Sebastian Bengt Ulf Larsson,6 de junio de 1985,,Mediocampista,81,178,,1,4,0,0
5112,https://www.losmundialesdefutbol.com/jugadores/sven_gunnar_larsson.php,Sven-Gunnar Larsson,,10 de mayo de 1940,,Arquero,81,,,2,2,0,0
5113,https://www.losmundialesdefutbol.com/jugadores/richie_laryea.php,Richie Laryea,Richmond Mamah Laryea,7 de enero de 1995,,Defensor,17,175,,1,3,0,0
5114,https://www.losmundialesdefutbol.com/jugadores/russell_latapy.php,Russell Latapy,,2 de agosto de 1968,,Delantero,84,183,,1,1,0,0
5115,https://www.losmundialesdefutbol.com/jugadores/mohamed_latif.php,Mohamed Latif,,23 de octubre de 1909,,Mediocampista,32,,,1,1,0,0
5116,https://www.losmundialesdefutbol.com/jugadores/ali_latifi.php,Ali Latifi,,20 de febrero de 1976,,Delantero,53,,,1,0,0,0
5117,https://www.losmundialesdefutbol.com/jugadores/reinhard_lauck.php,Reinhard Lauck,,16 de septiembre de 1946,,Mediocampista,3,,,1,3,0,0
5118,https://www.losmundialesdefutbol.com/jugadores/lauren.php,Lauren,,19 de enero de 1977,,"Defensor, Mediocampista",16,180,,2,4,0,0
5119,https://www.losmundialesdefutbol.com/jugadores/jean_laurent.php,Jean Laurent,,30 de diciembre de 1906,,Mediocampista,40,,,1,0,0,0
5120,https://www.losmundialesdefutbol.com/jugadores/jacob_laursen.php,Jacob Laursen,,6 de octubre de 1971,,Defensor,30,,,1,1,0,0
5121,https://www.losmundialesdefutbol.com/jugadores/martin_laursen.php,Martin Laursen,,26 de julio de 1977,,Defensor,30,190,,1,4,0,0
5122,https://www.losmundialesdefutbol.com/jugadores/jose_maria_lavalle.php,Jose Maria Lavalle,,5 de junio de 1911,,Delantero,69,,,1,2,0,0
5123,https://www.losmundialesdefutbol.com/jugadores/ezequiel_lavezzi.php,Ezequiel Lavezzi,,3 de mayo de 1985,,Delantero,7,173,,1,6,0,0
5124,https://www.losmundialesdefutbol.com/jugadores/denis_law.php,Denis Law,,24 de febrero de 1940,,Delantero,35,,,1,1,0,0
5125,https://www.losmundialesdefutbol.com/jugadores/garba_lawal.php,Garba Lawal,,22 de mayo de 1974,,Mediocampista,63,183,,2,5,0,0
