url_original,id_jugador
alberto_gilardino.php,589
gilberto_melo.php,590
ronald_gomez.php,591
fabio_grosso.php,592
sasa_ilic.php,593
filippo_inzaghi.php,594
radhi_jaidi.php,595
juanito.php,596
juninho_pernambucano.php,597
kaka.php,598
maksym_kalinichenko.php,599
bonaventure_kalou.php,600
jan_koller.php,601
bakary_kone.php,602
niko_kovac.php,603
chun_soo_lee.php,604
fredrik_ljungberg.php,605
mohamed_kader.php,606
shunsuke_nakamura.php,607
oliver_neuville.php,608
nuno_gomes.php,609
andrea_pirlo.php,610
serhiy_rebrov.php,611
franck_ribery.php,612
andriy_rusol.php,613
javier_saviola.php,614
philippe_senderos.php,615
darijo_srna.php,616
keiji_tamada.php,617
francesco_totti.php,618
ruud_van_nistelrooij.php,619
gianluca_zambrotta.php,620
ze_roberto.php,621
nikola_zigic.php,622
zinha.php,623
fabio_cannavaro.php,624
jens_lehmann.php,625
ricardo_2.php,626
ricardo_carvalho.php,627
john_terry.php,628
lilian_thuram.php,629
michael_ballack.php,630
gennaro_gattuso.php,631
luis_figo.php,632
robbie_keane.php,633
ilhan_mansiz.php,634
jared_borgetti.php,635
umit_davala.php,636
hasan_sas.php,637
milenko_acimovic.php,638
julius_aghahowa.php,639
niclas_alexandersson.php,640
francisco_arce.php,641
emre_belozoglu.php,642
vladimir_beschastnykh.php,643
beto_2.php,644
oliver_bierhoff.php,645
marco_bode.php,646
raouf_bouzaiene.php,647
gary_breen.php,648
sol_campbell.php,649
jorge_campos_2.php,650
sebastijan_cimirotic.php,651
salif_diao.php,652
damien_duff.php,653
edmilson.php,654
khalilou_fadiga.php,655
rio_ferdinand.php,656
quinton_fortune.php,657
emile_heskey.php,658
matt_holland.php,659
sun_hong_hwang.php,660
carsten_jancker.php,661
junior_2.php,662
valeri_karpin.php,663
bulent_korkmaz.php,664
pawel_kryszalowicz.php,665
eul_yong_lee.php,666
thomas_linke.php,667
clint_mathis.php,668
patrick_mboma.php,669
gaizka_mendieta.php,670
teboho_mokoena.php,671
richard_morales.php,672
hiroaki_morishima.php,673
hidetoshi_nakata.php,674
john_obrien.php,675
emmanuel_olisadebe.php,676
winston_parks.php,677
milan_rapaic.php,678
alvaro_recoba.php,679
