id_mundial,id_seleccion,posicion,etapa,pts,pj,pg,pe,pp,gf,gc,dif
13,40,3,Partido 3er Puesto,10,7,4,2,1,12,6,6
13,14,4,Partido 3er Puesto,6,7,2,2,3,12,15,-3
13,12,5,Cuartos de Final,9,5,4,1,0,10,1,9
13,62,6,Cuartos de Final,8,5,3,2,0,6,2,4
13,38,7,Cuartos de Final,7,5,3,1,1,11,4,7
13,49,8,Cuartos de Final,5,5,2,1,2,7,3,4
13,30,9,Octavos de Final,6,4,3,0,1,10,6,4
13,87,10,Octavos de Final,5,4,2,1,1,12,5,7
13,61,11,Octavos de Final,4,4,1,2,1,3,2,1
13,56,12,Octavos de Final,4,4,1,2,1,5,6,-1
13,68,13,Octavos de Final,4,4,1,2,1,4,6,-2
13,70,14,Octavos de Final,3,4,1,1,2,1,7,-6
13,13,15,Octavos de Final,2,4,0,2,2,2,6,-4
13,89,16,Octavos de Final,2,4,0,2,2,2,8,-6
13,71,17,Grupos 1ra Ronda,2,3,1,0,2,2,4,-2
13,46,18,Grupos 1ra Ronda,2,3,1,0,2,2,9,-7
13,35,19,Grupos 1ra Ronda,1,3,0,1,2,1,3,-2
13,24,20,Grupos 1ra Ronda,1,3,0,1,2,4,7,-3
13,52,21,Grupos 1ra Ronda,1,3,0,1,2,2,6,-4
13,6,22,Grupos 1ra Ronda,1,3,0,1,2,1,5,-4
13,50,23,Grupos 1ra Ronda,0,3,0,0,3,1,4,-3
13,17,24,Grupos 1ra Ronda,0,3,0,0,3,0,5,-5
12,56,1,Final,11,7,4,3,0,12,6,6
12,2,2,Final,8,7,3,2,2,12,10,2
12,70,3,Partido 3er Puesto,9,7,3,3,1,11,5,6
12,40,4,Partido 3er Puesto,8,7,3,2,2,16,12,4
12,12,5,Grupos 2da Ronda,8,5,4,0,1,15,6,9
12,49,6,Grupos 2da Ronda,8,5,3,2,0,6,1,5
12,87,7,Grupos 2da Ronda,6,5,2,2,1,7,4,3
12,9,8,Grupos 2da Ronda,5,5,2,1,2,5,4,1
12,52,9,Grupos 2da Ronda,5,5,1,3,1,5,7,-2
12,14,10,Grupos 2da Ronda,5,5,2,1,2,3,5,-2
12,7,11,Grupos 2da Ronda,4,5,2,0,3,8,7,1
