url_original,id_partido
2006_francia_corea_del_sur.php,286
2006_togo_suiza.php,287
2006_espana_tunez.php,288
2006_arabia_saudita_ucrania.php,289
2006_ecuador_alemania.php,290
2006_costa_rica_polonia.php,291
2006_suecia_inglaterra.php,292
2006_paraguay_trinidad_y_tobago.php,293
2006_holanda_argentina.php,294
2006_costa_de_marfil_serbia_y_montenegro.php,295
2006_portugal_mexico.php,296
2006_iran_angola.php,297
2006_republica_checa_italia.php,298
2006_ghana_estados_unidos.php,299
2006_japon_brasil.php,300
2006_croacia_australia.php,301
2006_togo_francia.php,302
2006_suiza_corea_del_sur.php,303
2006_arabia_saudita_espana.php,304
2006_ucrania_tunez.php,305
2006_alemania_suecia.php,306
2006_argentina_mexico.php,307
2006_inglaterra_ecuador.php,308
2006_portugal_holanda.php,309
2006_italia_australia.php,310
2006_suiza_ucrania.php,311
2006_brasil_ghana.php,312
2006_espana_francia.php,313
2006_alemania_argentina.php,314
2006_italia_ucrania.php,315
2006_inglaterra_portugal.php,316
2006_brasil_francia.php,317
2006_alemania_italia.php,318
2006_portugal_francia.php,319
2006_alemania_portugal.php,320
2006_italia_francia.php,321
2002_francia_senegal.php,322
2002_irlanda_camerun.php,323
2002_uruguay_dinamarca.php,324
2002_alemania_arabia_saudita.php,325
2002_inglaterra_suecia.php,326
2002_paraguay_sudafrica.php,327
2002_argentina_nigeria.php,328
2002_espana_eslovenia.php,329
2002_croacia_mexico.php,330
2002_brasil_turquia.php,331
2002_italia_ecuador.php,332
2002_china_costa_rica.php,333
2002_japon_belgica.php,334
2002_corea_del_sur_polonia.php,335
2002_rusia_tunez.php,336
2002_estados_unidos_portugal.php,337
2002_alemania_irlanda.php,338
2002_francia_uruguay.php,339
2002_camerun_arabia_saudita.php,340
2002_dinamarca_senegal.php,341
2002_suecia_nigeria.php,342
2002_espana_paraguay.php,343
2002_argentina_inglaterra.php,344
2002_sudafrica_eslovenia.php,345
2002_italia_croacia.php,346
2002_brasil_china.php,347
2002_mexico_ecuador.php,348
2002_costa_rica_turquia.php,349
2002_japon_rusia.php,350
2002_corea_del_sur_estados_unidos.php,351
2002_tunez_belgica.php,352
2002_portugal_polonia.php,353
2002_dinamarca_francia.php,354
2002_senegal_uruguay.php,355
2002_camerun_alemania.php,356
2002_arabia_saudita_irlanda.php,357
2002_suecia_argentina.php,358
2002_nigeria_inglaterra.php,359
2002_sudafrica_espana.php,360
2002_eslovenia_paraguay.php,361
2002_costa_rica_brasil.php,362
2002_turquia_china.php,363
2002_mexico_italia.php,364
2002_ecuador_croacia.php,365
2002_tunez_japon.php,366
2002_belgica_rusia.php,367
2002_portugal_corea_del_sur.php,368
2002_polonia_estados_unidos.php,369
2002_alemania_paraguay.php,370
2002_dinamarca_inglaterra.php,371
2002_suecia_senegal.php,372
2002_espana_irlanda.php,373
2002_mexico_estados_unidos.php,374
2002_brasil_belgica.php,375
2002_japon_turquia.php,376
2002_corea_del_sur_italia.php,377
2002_inglaterra_brasil.php,378
2002_alemania_estados_unidos.php,379
2002_espana_corea_del_sur.php,380
2002_senegal_turquia.php,381
2002_alemania_corea_del_sur.php,382
2002_brasil_turquia_2.php,383
2002_corea_del_sur_turquia.php,384
2002_alemania_brasil.php,385
1998_brasil_escocia.php,386
1998_marruecos_noruega.php,387
1998_camerun_austria.php,388
1998_italia_chile.php,389
1998_arabia_saudita_dinamarca.php,390
1998_francia_sudafrica.php,391
1998_paraguay_bulgaria.php,392
1998_holanda_belgica.php,393
1998_corea_del_sur_mexico.php,394
1998_espana_nigeria.php,395
1998_jamaica_croacia.php,396
1998_rf_de_yugoslavia_iran.php,397
1998_argentina_japon.php,398
1998_alemania_estados_unidos.php,399
1998_rumania_colombia.php,400
1998_inglaterra_tunez.php,401
1998_escocia_noruega.php,402
1998_brasil_marruecos.php,403
1998_chile_austria.php,404
1998_italia_camerun.php,405
1998_francia_arabia_saudita.php,406
1998_sudafrica_dinamarca.php,407
1998_nigeria_bulgaria.php,408
1998_espana_paraguay.php,409
1998_holanda_corea_del_sur.php,410
1998_belgica_mexico.php,411
1998_japon_croacia.php,412
1998_argentina_jamaica.php,413
1998_alemania_rf_de_yugoslavia.php,414
1998_estados_unidos_iran.php,415
1998_colombia_tunez.php,416
1998_rumania_inglaterra.php,417
1998_italia_austria.php,418
1998_escocia_marruecos.php,419
1998_brasil_noruega.php,420
1998_chile_camerun.php,421
1998_espana_bulgaria.php,422
1998_francia_dinamarca.php,423
1998_nigeria_paraguay.php,424
1998_sudafrica_arabia_saudita.php,425
1998_belgica_corea_del_sur.php,426
1998_holanda_mexico.php,427
1998_alemania_iran.php,428
1998_estados_unidos_rf_de_yugoslavia.php,429
1998_rumania_tunez.php,430
1998_colombia_inglaterra.php,431
1998_japon_jamaica.php,432
1998_argentina_croacia.php,433
1998_brasil_chile.php,434
1998_italia_noruega.php,435
1998_nigeria_dinamarca.php,436
1998_francia_paraguay.php,437
1998_alemania_mexico.php,438
1998_holanda_rf_de_yugoslavia.php,439
1998_argentina_inglaterra.php,440
1998_rumania_croacia.php,441
1998_italia_francia.php,442
1998_brasil_dinamarca.php,443
