id_mundial,id_partido,id_jugador,id_seleccion,minuto,tipo_gol
15,495,803,12,81,normal
15,499,350,12,80,normal
16,403,2,12,9,normal
16,403,89,12,45,normal
16,403,360,12,50,normal
16,434,706,12,11,normal
16,434,706,12,27,normal
16,434,2,12,45,penal
16,434,705,20,68,normal
16,434,2,12,70,normal
16,443,741,30,2,normal
16,443,360,12,11,normal
16,443,89,12,27,normal
16,443,711,30,50,normal
16,443,89,12,60,normal
16,446,2,12,46,normal
16,446,709,66,87,normal
17,331,637,85,45,normal
17,331,2,12,50,normal
17,331,89,12,87,penal
17,347,680,12,15,normal
17,347,89,12,32,normal
17,347,16,12,45,penal
17,347,2,12,55,normal
17,362,2,12,10,normal
17,362,2,12,13,normal
17,362,654,12,38,normal
17,362,572,25,39,normal
17,362,591,25,56,normal
17,362,89,12,62,normal
17,362,662,12,64,normal
17,375,89,12,67,normal
17,375,2,12,87,normal
17,378,153,49,23,normal
17,378,89,12,45,normal
17,378,16,12,50,normal
17,383,2,12,49,normal
18,269,598,12,44,normal
18,284,562,12,49,normal
18,284,462,12,90,normal
18,300,617,58,34,normal
18,300,2,12,45,normal
18,300,597,12,53,normal
18,300,590,12,59,normal
18,300,2,12,81,normal
18,312,2,12,5,normal
18,312,562,12,45,normal
18,312,621,12,84,normal
18,317,141,40,57,normal
9,739,1138,61,21,normal
9,739,53,2,56,normal
9,739,3,2,80,normal
9,748,1146,13,12,normal
9,748,1141,2,20,normal
9,748,3,2,27,normal
9,748,3,2,52,penal
9,748,53,2,70,normal
9,748,3,2,88,normal
9,748,1140,13,89,normal
9,752,3,2,19,normal
9,752,3,2,26,normal
9,752,3,2,39,normal
9,752,333,69,44,normal
9,758,1144,49,31,normal
9,758,1148,49,49,normal
9,758,330,2,68,normal
9,758,53,2,76,normal
9,758,3,2,108,normal
9,763,1113,56,8,normal
9,763,1149,2,90,normal
9,763,3,2,94,normal
9,763,1122,56,98,normal
9,763,1112,56,104,normal
9,763,3,2,110,normal
9,763,1105,56,111,normal
9,764,1079,2,26,normal
10,697,983,2,18,normal
10,705,1079,2,12,normal
10,705,1092,2,34,normal
10,705,3,2,53,normal
10,713,1106,3,77,normal
10,721,983,2,39,normal
10,721,3,2,82,normal
10,727,1075,81,24,normal
10,727,1079,2,51,normal
10,727,1089,2,52,normal
10,727,1080,81,53,normal
10,727,1096,2,76,normal
10,727,1098,2,89,penal
10,730,3,2,76,normal
6,833,194,68,20,normal
6,833,4,40,24,normal
6,833,4,40,30,normal
6,833,194,68,44,penal
6,833,197,68,50,normal
6,833,1244,40,52,normal
6,833,1255,40,61,normal
6,833,4,40,67,normal
6,833,1243,40,70,normal
6,833,1285,40,83,normal
6,838,4,40,4,normal
6,838,1254,91,16,normal
6,838,1245,91,63,normal
6,838,4,40,85,normal
6,838,1245,91,88,normal
6,857,1255,40,22,normal
6,857,4,40,55,normal
6,857,4,40,63,normal
6,857,1244,40,68,normal
6,862,88,12,2,normal
6,862,4,40,9,normal
6,862,1265,12,39,normal
6,862,7,12,52,normal
6,862,7,12,64,normal
6,862,7,12,75,normal
6,862,1244,40,83,normal
6,863,4,40,16,normal
6,863,1262,2,18,normal
6,863,1243,40,27,penal
6,863,4,40,36,normal
6,863,1266,40,50,normal
6,863,52,2,52,normal
6,863,4,40,78,normal
6,863,358,2,84,normal
6,863,4,40,89,normal
18,262,352,7,24,normal
18,262,614,7,38,normal
18,262,105,26,82,normal
18,278,354,7,6,normal
18,278,581,7,31,normal
18,278,354,7,41,normal
18,278,352,7,78,normal
18,278,49,7,84,normal
18,278,5,7,88,normal
18,307,174,62,6,normal
18,307,352,7,10,normal
18,307,354,7,98,normal
19,196,525,7,6,normal
19,213,544,7,17,autogol
19,213,67,7,33,normal
19,213,100,24,45,normal
19,213,67,7,76,normal
19,213,67,7,80,normal
19,229,518,7,77,normal
19,229,542,7,89,normal
19,245,49,7,26,normal
19,245,67,7,33,normal
19,245,49,7,52,normal
19,245,45,62,71,normal
20,140,4902,7,3,autogol
20,140,5,7,65,normal
20,140,467,11,84,normal
20,156,5,7,90,normal
20,172,5,7,3,normal
20,172,370,63,4,normal
20,172,5,7,45,normal
20,172,370,63,47,normal
20,172,425,7,50,normal
20,184,33,7,118,normal
20,189,67,7,8,normal
21,72,31,7,19,normal
21,72,393,54,23,normal
21,88,421,27,53,normal
21,88,11,27,80,normal
21,88,420,27,90,normal
21,104,5,7,14,normal
21,104,413,63,51,penal
21,104,425,7,86,normal
21,115,41,40,13,penal
21,115,33,7,41,normal
21,115,410,7,48,normal
21,115,417,40,57,normal
21,115,6,40,64,normal
21,115,6,40,68,normal
21,115,31,7,90,normal
21,70,41,40,58,penal
21,70,69,8,62,penal
21,70,2153,40,81,autogol
21,86,6,40,34,normal
21,122,430,40,40,normal
21,122,41,40,61,normal
21,126,429,40,51,normal
6,832,1248,12,38,normal
6,832,1278,12,49,normal
6,832,1248,12,89,normal
6,850,88,12,3,normal
6,850,88,12,77,normal
6,859,7,12,66,normal
7,799,1232,12,56,normal
7,799,7,12,73,normal
7,817,1204,38,35,normal
7,817,1193,12,72,normal
7,817,1193,12,86,normal
7,822,325,12,31,normal
7,822,1213,49,38,normal
7,822,88,12,53,normal
7,822,325,12,59,normal
7,827,325,12,9,normal
7,827,325,12,32,normal
7,827,1202,20,42,normal
7,827,88,12,47,normal
7,827,328,20,61,penal
7,827,88,12,78,normal
8,769,7,12,15,normal
8,769,325,12,63,normal
8,775,331,46,2,normal
8,775,1118,12,14,normal
8,775,1171,46,64,normal
8,775,1161,46,73,penal
8,782,1184,71,15,normal
8,782,24,71,27,normal
8,782,1181,12,73,normal
8,782,24,71,85,normal
9,741,1117,19,11,normal
9,741,361,12,24,normal
9,741,7,12,59,normal
9,741,87,12,61,normal
9,741,87,12,83,normal
9,749,87,12,59,normal
9,753,7,12,19,normal
9,753,87,12,22,normal
9,753,1114,75,34,normal
9,753,7,12,67,normal
9,753,1129,75,84,normal
9,761,361,12,11,normal
9,761,1118,12,15,normal
9,761,1115,69,28,normal
9,761,1118,12,52,normal
