mundial,url_partido,seleccion,jugador,minuto,tipo_gol,fecha_scraping
1994,https://www.losmundialesdefutbol.com/partidos/1994_arabia_saudita_marruecos.php,Arabia Saudita,Fuad Amin,45,normal,2026-03-17T00:04:36.555204
1994,https://www.losmundialesdefutbol.com/partidos/1994_argentina_nigeria.php,Nigeria,Samson Siasia,8,normal,2026-03-17T00:04:40.095137
1994,https://www.losmundialesdefutbol.com/partidos/1994_argentina_nigeria.php,Argentina,Claudio Caniggia,21,normal,2026-03-17T00:04:40.095137
1994,https://www.losmundialesdefutbol.com/partidos/1994_argentina_nigeria.php,Argentina,Claudio Caniggia,28,normal,2026-03-17T00:04:40.095137
1994,https://www.losmundialesdefutbol.com/partidos/1994_bulgaria_grecia.php,Bulgaria,Hristo Stoichkov,5,penal,2026-03-17T00:04:42.176120
1994,https://www.losmundialesdefutbol.com/partidos/1994_bulgaria_grecia.php,Bulgaria,Hristo Stoichkov,55,penal,2026-03-17T00:04:42.176120
1994,https://www.losmundialesdefutbol.com/partidos/1994_bulgaria_grecia.php,Bulgaria,Iordan Letchkov,65,normal,2026-03-17T00:04:42.176120
1994,https://www.losmundialesdefutbol.com/partidos/1994_bulgaria_grecia.php,Bulgaria,Daniel Borimirov,90,normal,2026-03-17T00:04:42.176120
1994,https://www.losmundialesdefutbol.com/partidos/1994_estados_unidos_rumania.php,Rumania,Dan Petrescu,18,normal,2026-03-17T00:04:45.274614
1994,https://www.losmundialesdefutbol.com/partidos/1994_suiza_colombia.php,Colombia,Herman Gaviria,44,normal,2026-03-17T00:04:48.638539
1994,https://www.losmundialesdefutbol.com/partidos/1994_suiza_colombia.php,Colombia,John Lozano,90,normal,2026-03-17T00:04:48.638539
1994,https://www.losmundialesdefutbol.com/partidos/1994_bolivia_espana.php,España,Pep Guardiola,19,penal,2026-03-17T00:04:51.721932
1994,https://www.losmundialesdefutbol.com/partidos/1994_bolivia_espana.php,España,Jose Luis Caminero,66,normal,2026-03-17T00:04:51.721932
1994,https://www.losmundialesdefutbol.com/partidos/1994_bolivia_espana.php,Bolivia,Erwin Sanchez,67,normal,2026-03-17T00:04:51.721932
1994,https://www.losmundialesdefutbol.com/partidos/1994_bolivia_espana.php,España,Jose Luis Caminero,70,normal,2026-03-17T00:04:51.721932
1994,https://www.losmundialesdefutbol.com/partidos/1994_italia_mexico.php,Italia,Daniele Massaro,48,normal,2026-03-17T00:04:59.497767
