mundial,posicion,seleccion,etapa,pts,pj,pg,pe,pp,gf,gc,dif,url,fecha_scraping
2018,17,Senegal,Grupos 1ra Ronda,4,3,1,1,1,4,4,0,https://www.losmundialesdefutbol.com/mundiales/2018_posiciones_finales.php,2026-03-16T22:25:44.411060
2018,18,Irán,Grupos 1ra Ronda,4,3,1,1,1,2,2,0,https://www.losmundialesdefutbol.com/mundiales/2018_posiciones_finales.php,2026-03-16T22:25:44.411060
2018,19,Corea del Sur,Grupos 1ra Ronda,3,3,1,0,2,3,3,0,https://www.losmundialesdefutbol.com/mundiales/2018_posiciones_finales.php,2026-03-16T22:25:44.411060
2018,20,Perú,Grupos 1ra Ronda,3,3,1,0,2,2,2,0,https://www.losmundialesdefutbol.com/mundiales/2018_posiciones_finales.php,2026-03-16T22:25:44.411060
2018,21,Nigeria,Grupos 1ra Ronda,3,3,1,0,2,3,4,-1,https://www.losmundialesdefutbol.com/mundiales/2018_posiciones_finales.php,2026-03-16T22:25:44.411060
2018,22,Alemania,Grupos 1ra Ronda,3,3,1,0,2,2,4,-2,https://www.losmundialesdefutbol.com/mundiales/2018_posiciones_finales.php,2026-03-16T22:25:44.411060
2018,23,Serbia,Grupos 1ra Ronda,3,3,1,0,2,2,4,-2,https://www.losmundialesdefutbol.com/mundiales/2018_posiciones_finales.php,2026-03-16T22:25:44.411060
2018,24,Túnez,Grupos 1ra Ronda,3,3,1,0,2,5,8,-3,https://www.losmundialesdefutbol.com/mundiales/2018_posiciones_finales.php,2026-03-16T22:25:44.411060
2018,25,Polonia,Grupos 1ra Ronda,3,3,1,0,2,2,5,-3,https://www.losmundialesdefutbol.com/mundiales/2018_posiciones_finales.php,2026-03-16T22:25:44.411060
2018,26,Arabia Saudita,Grupos 1ra Ronda,3,3,1,0,2,2,7,-5,https://www.losmundialesdefutbol.com/mundiales/2018_posiciones_finales.php,2026-03-16T22:25:44.411060
2018,27,Marruecos,Grupos 1ra Ronda,1,3,0,1,2,2,4,-2,https://www.losmundialesdefutbol.com/mundiales/2018_posiciones_finales.php,2026-03-16T22:25:44.411060
2018,28,Islandia,Grupos 1ra Ronda,1,3,0,1,2,2,5,-3,https://www.losmundialesdefutbol.com/mundiales/2018_posiciones_finales.php,2026-03-16T22:25:44.411060
2018,29,Costa Rica,Grupos 1ra Ronda,1,3,0,1,2,2,5,-3,https://www.losmundialesdefutbol.com/mundiales/2018_posiciones_finales.php,2026-03-16T22:25:44.411060
2018,30,Australia,Grupos 1ra Ronda,1,3,0,1,2,2,5,-3,https://www.losmundialesdefutbol.com/mundiales/2018_posiciones_finales.php,2026-03-16T22:25:44.411060
2018,31,Egipto,Grupos 1ra Ronda,0,3,0,0,3,2,6,-4,https://www.losmundialesdefutbol.com/mundiales/2018_posiciones_finales.php,2026-03-16T22:25:44.411060
2018,32,Panamá,Grupos 1ra Ronda,0,3,0,0,3,2,11,-9,https://www.losmundialesdefutbol.com/mundiales/2018_posiciones_finales.php,2026-03-16T22:25:44.411060
2014,1,Alemania,Final,19,7,6,1,0,18,4,14,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,2,Argentina,Final,16,7,5,1,1,8,4,4,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,3,Paises Bajos,Partido 3er Puesto,17,7,5,2,0,15,4,11,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,4,Brasil,Partido 3er Puesto,11,7,3,2,2,11,14,-3,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,5,Colombia,Cuartos de Final,12,5,4,0,1,12,4,8,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,6,Bélgica,Cuartos de Final,12,5,4,0,1,6,3,3,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,7,Francia,Cuartos de Final,10,5,3,1,1,10,3,7,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,8,Costa Rica,Cuartos de Final,9,5,2,3,0,5,2,3,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,9,Chile,Octavos de Final,7,4,2,1,1,6,4,2,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,10,México,Octavos de Final,7,4,2,1,1,5,3,2,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,11,Suiza,Octavos de Final,6,4,2,0,2,7,7,0,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,12,Uruguay,Octavos de Final,6,4,2,0,2,4,6,-2,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,13,Grecia,Octavos de Final,5,4,1,2,1,3,5,-2,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,14,Argelia,Octavos de Final,4,4,1,1,2,7,7,0,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,15,Estados Unidos,Octavos de Final,4,4,1,1,2,5,6,-1,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,16,Nigeria,Octavos de Final,4,4,1,1,2,3,5,-2,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,17,Ecuador,Grupos 1ra Ronda,4,3,1,1,1,3,3,0,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,18,Portugal,Grupos 1ra Ronda,4,3,1,1,1,4,7,-3,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,19,Croacia,Grupos 1ra Ronda,3,3,1,0,2,6,6,0,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,20,Bosnia-Herzegovina,Grupos 1ra Ronda,3,3,1,0,2,4,4,0,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,21,Costa de Marfil,Grupos 1ra Ronda,3,3,1,0,2,4,5,-1,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,22,Italia,Grupos 1ra Ronda,3,3,1,0,2,2,3,-1,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,23,España,Grupos 1ra Ronda,3,3,1,0,2,4,7,-3,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,24,Rusia,Grupos 1ra Ronda,2,3,0,2,1,2,3,-1,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,25,Ghana,Grupos 1ra Ronda,1,3,0,1,2,4,6,-2,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,26,Inglaterra,Grupos 1ra Ronda,1,3,0,1,2,2,4,-2,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,27,Corea del Sur,Grupos 1ra Ronda,1,3,0,1,2,3,6,-3,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,28,Irán,Grupos 1ra Ronda,1,3,0,1,2,1,4,-3,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,29,Japón,Grupos 1ra Ronda,1,3,0,1,2,2,6,-4,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,30,Australia,Grupos 1ra Ronda,0,3,0,0,3,3,9,-6,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,31,Honduras,Grupos 1ra Ronda,0,3,0,0,3,1,8,-7,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2014,32,Camerún,Grupos 1ra Ronda,0,3,0,0,3,1,9,-8,https://www.losmundialesdefutbol.com/mundiales/2014_posiciones_finales.php,2026-03-16T22:25:53.529453
2010,1,España,Final,18,7,6,0,1,8,2,6,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,2,Paises Bajos,Final,18,7,6,0,1,12,6,6,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,3,Alemania,Partido 3er Puesto,15,7,5,0,2,16,5,11,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,4,Uruguay,Partido 3er Puesto,11,7,3,2,2,11,8,3,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,5,Argentina,Cuartos de Final,12,5,4,0,1,10,6,4,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,6,Brasil,Cuartos de Final,10,5,3,1,1,9,4,5,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,7,Ghana,Cuartos de Final,8,5,2,2,1,5,4,1,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,8,Paraguay,Cuartos de Final,6,5,1,3,1,3,2,1,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,9,Japón,Octavos de Final,7,4,2,1,1,4,2,2,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,10,Chile,Octavos de Final,6,4,2,0,2,3,5,-2,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,11,Portugal,Octavos de Final,5,4,1,2,1,7,1,6,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,12,Estados Unidos,Octavos de Final,5,4,1,2,1,5,5,0,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,13,Inglaterra,Octavos de Final,5,4,1,2,1,3,5,-2,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,14,México,Octavos de Final,4,4,1,1,2,4,5,-1,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,15,Corea del Sur,Octavos de Final,4,4,1,1,2,6,8,-2,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,16,Eslovaquia,Octavos de Final,4,4,1,1,2,5,7,-2,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,17,Costa de Marfil,Grupos 1ra Ronda,4,3,1,1,1,4,3,1,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,18,Eslovenia,Grupos 1ra Ronda,4,3,1,1,1,3,3,0,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,19,Suiza,Grupos 1ra Ronda,4,3,1,1,1,1,1,0,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,20,Sudáfrica,Grupos 1ra Ronda,4,3,1,1,1,3,5,-2,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,21,Australia,Grupos 1ra Ronda,4,3,1,1,1,3,6,-3,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,22,Nueva Zelanda,Grupos 1ra Ronda,3,3,0,3,0,2,2,0,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,23,Serbia,Grupos 1ra Ronda,3,3,1,0,2,2,3,-1,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,24,Dinamarca,Grupos 1ra Ronda,3,3,1,0,2,3,6,-3,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,25,Grecia,Grupos 1ra Ronda,3,3,1,0,2,2,5,-3,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,26,Italia,Grupos 1ra Ronda,2,3,0,2,1,4,5,-1,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,27,Nigeria,Grupos 1ra Ronda,1,3,0,1,2,3,5,-2,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,28,Argelia,Grupos 1ra Ronda,1,3,0,1,2,0,2,-2,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,29,Francia,Grupos 1ra Ronda,1,3,0,1,2,1,4,-3,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,30,Honduras,Grupos 1ra Ronda,1,3,0,1,2,0,3,-3,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,31,Camerún,Grupos 1ra Ronda,0,3,0,0,3,2,5,-3,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2010,32,Corea del Norte,Grupos 1ra Ronda,0,3,0,0,3,1,12,-11,https://www.losmundialesdefutbol.com/mundiales/2010_posiciones_finales.php,2026-03-16T22:26:02.745683
2006,1,Italia,Final,17,7,5,2,0,12,2,10,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,2,Francia,Final,15,7,4,3,0,9,3,6,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,3,Alemania,Partido 3er Puesto,16,7,5,1,1,14,6,8,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,4,Portugal,Partido 3er Puesto,13,7,4,1,2,7,5,2,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,5,Brasil,Cuartos de Final,12,5,4,0,1,10,2,8,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,6,Argentina,Cuartos de Final,11,5,3,2,0,11,3,8,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,7,Inglaterra,Cuartos de Final,11,5,3,2,0,6,2,4,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,8,Ucrania,Cuartos de Final,7,5,2,1,2,5,7,-2,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,9,España,Octavos de Final,9,4,3,0,1,9,4,5,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,10,Suiza,Octavos de Final,8,4,2,2,0,4,0,4,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,11,Paises Bajos,Octavos de Final,7,4,2,1,1,3,2,1,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,12,Ecuador,Octavos de Final,6,4,2,0,2,5,4,1,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,13,Ghana,Octavos de Final,6,4,2,0,2,4,6,-2,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,14,Suecia,Octavos de Final,5,4,1,2,1,3,4,-1,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,15,México,Octavos de Final,4,4,1,1,2,5,5,0,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,16,Australia,Octavos de Final,4,4,1,1,2,5,6,-1,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,17,Corea del Sur,Grupos 1ra Ronda,4,3,1,1,1,3,4,-1,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,18,Paraguay,Grupos 1ra Ronda,3,3,1,0,2,2,2,0,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,19,Costa de Marfil,Grupos 1ra Ronda,3,3,1,0,2,5,6,-1,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,20,República Checa,Grupos 1ra Ronda,3,3,1,0,2,3,4,-1,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,21,Polonia,Grupos 1ra Ronda,3,3,1,0,2,2,4,-2,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,22,Croacia,Grupos 1ra Ronda,2,3,0,2,1,2,3,-1,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,23,Angola,Grupos 1ra Ronda,2,3,0,2,1,1,2,-1,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,24,Túnez,Grupos 1ra Ronda,1,3,0,1,2,3,6,-3,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,25,Estados Unidos,Grupos 1ra Ronda,1,3,0,1,2,2,6,-4,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,26,Irán,Grupos 1ra Ronda,1,3,0,1,2,2,6,-4,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,27,Trinidad y Tobago,Grupos 1ra Ronda,1,3,0,1,2,0,4,-4,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,28,Arabia Saudita,Grupos 1ra Ronda,1,3,0,1,2,2,7,-5,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
2006,29,Japón,Grupos 1ra Ronda,1,3,0,1,2,2,7,-5,https://www.losmundialesdefutbol.com/mundiales/2006_posiciones_finales.php,2026-03-16T22:26:11.145284
