mundial,tipo_premio,jugador_o_seleccion,url_jugador,url,fecha_scraping
1966,Botín de Bronce,-,,https://www.losmundialesdefutbol.com/mundiales/1966_premios.php,2026-03-16T22:27:43.236816
1962,Balón de Oro,-,,https://www.losmundialesdefutbol.com/mundiales/1962_premios.php,2026-03-16T22:27:53.160367
1962,Balón de Plata,-,,https://www.losmundialesdefutbol.com/mundiales/1962_premios.php,2026-03-16T22:27:53.160367
1962,Balón de Bronce,-,,https://www.losmundialesdefutbol.com/mundiales/1962_premios.php,2026-03-16T22:27:53.160367
1962,Botín de Oro,Florian Albert,../jugadores/florian_albert.php,https://www.losmundialesdefutbol.com/mundiales/1962_premios.php,2026-03-16T22:27:53.160367
1962,Botín de Plata,-,,https://www.losmundialesdefutbol.com/mundiales/1962_premios.php,2026-03-16T22:27:53.160367
1962,Botín de Bronce,-,,https://www.losmundialesdefutbol.com/mundiales/1962_premios.php,2026-03-16T22:27:53.160367
1958,Balón de Oro,-,,https://www.losmundialesdefutbol.com/mundiales/1958_premios.php,2026-03-16T22:28:03.123474
1958,Balón de Plata,-,,https://www.losmundialesdefutbol.com/mundiales/1958_premios.php,2026-03-16T22:28:03.123474
1958,Balón de Bronce,-,,https://www.losmundialesdefutbol.com/mundiales/1958_premios.php,2026-03-16T22:28:03.123474
1958,Botín de Oro,Just Fontaine,../jugadores/just_fontaine.php,https://www.losmundialesdefutbol.com/mundiales/1958_premios.php,2026-03-16T22:28:03.123474
1958,Botín de Plata,-,,https://www.losmundialesdefutbol.com/mundiales/1958_premios.php,2026-03-16T22:28:03.123474
1958,Botín de Bronce,-,,https://www.losmundialesdefutbol.com/mundiales/1958_premios.php,2026-03-16T22:28:03.123474
1954,Balón de Oro,-,,https://www.losmundialesdefutbol.com/mundiales/1954_premios.php,2026-03-16T22:28:11.380626
1954,Balón de Plata,-,,https://www.losmundialesdefutbol.com/mundiales/1954_premios.php,2026-03-16T22:28:11.380626
1954,Balón de Bronce,-,,https://www.losmundialesdefutbol.com/mundiales/1954_premios.php,2026-03-16T22:28:11.380626
1954,Botín de Oro,Sandor Kocsis,../jugadores/sandor_kocsis.php,https://www.losmundialesdefutbol.com/mundiales/1954_premios.php,2026-03-16T22:28:11.380626
1954,Botín de Plata,-,,https://www.losmundialesdefutbol.com/mundiales/1954_premios.php,2026-03-16T22:28:11.380626
1954,Botín de Bronce,-,,https://www.losmundialesdefutbol.com/mundiales/1954_premios.php,2026-03-16T22:28:11.380626
1950,Balón de Oro,-,,https://www.losmundialesdefutbol.com/mundiales/1950_premios.php,2026-03-16T22:28:17.526130
1950,Balón de Plata,-,,https://www.losmundialesdefutbol.com/mundiales/1950_premios.php,2026-03-16T22:28:17.526130
1950,Balón de Bronce,-,,https://www.losmundialesdefutbol.com/mundiales/1950_premios.php,2026-03-16T22:28:17.526130
1950,Botín de Oro,Ademir,../jugadores/ademir.php,https://www.losmundialesdefutbol.com/mundiales/1950_premios.php,2026-03-16T22:28:17.526130
1950,Botín de Plata,-,,https://www.losmundialesdefutbol.com/mundiales/1950_premios.php,2026-03-16T22:28:17.526130
1950,Botín de Bronce,-,,https://www.losmundialesdefutbol.com/mundiales/1950_premios.php,2026-03-16T22:28:17.526130
1938,Balón de Oro,-,,https://www.losmundialesdefutbol.com/mundiales/1938_premios.php,2026-03-16T22:28:26.428607
1938,Balón de Plata,-,,https://www.losmundialesdefutbol.com/mundiales/1938_premios.php,2026-03-16T22:28:26.428607
1938,Balón de Bronce,-,,https://www.losmundialesdefutbol.com/mundiales/1938_premios.php,2026-03-16T22:28:26.428607
1938,Botín de Oro,Leonidas,../jugadores/leonidas.php,https://www.losmundialesdefutbol.com/mundiales/1938_premios.php,2026-03-16T22:28:26.428607
1938,Botín de Plata,-,,https://www.losmundialesdefutbol.com/mundiales/1938_premios.php,2026-03-16T22:28:26.428607
1938,Botín de Bronce,-,,https://www.losmundialesdefutbol.com/mundiales/1938_premios.php,2026-03-16T22:28:26.428607
1934,Balón de Oro,-,,https://www.losmundialesdefutbol.com/mundiales/1934_premios.php,2026-03-16T22:28:35.642819
1934,Balón de Plata,-,,https://www.losmundialesdefutbol.com/mundiales/1934_premios.php,2026-03-16T22:28:35.642819
1934,Balón de Bronce,-,,https://www.losmundialesdefutbol.com/mundiales/1934_premios.php,2026-03-16T22:28:35.642819
1934,Botín de Oro,Oldrich Nejedly,../jugadores/oldrich_nejedly.php,https://www.losmundialesdefutbol.com/mundiales/1934_premios.php,2026-03-16T22:28:35.642819
1934,Botín de Plata,-,,https://www.losmundialesdefutbol.com/mundiales/1934_premios.php,2026-03-16T22:28:35.642819
1934,Botín de Bronce,-,,https://www.losmundialesdefutbol.com/mundiales/1934_premios.php,2026-03-16T22:28:35.642819
1930,Balón de Oro,-,,https://www.losmundialesdefutbol.com/mundiales/1930_premios.php,2026-03-16T22:28:44.653272
1930,Balón de Plata,-,,https://www.losmundialesdefutbol.com/mundiales/1930_premios.php,2026-03-16T22:28:44.653272
1930,Balón de Bronce,-,,https://www.losmundialesdefutbol.com/mundiales/1930_premios.php,2026-03-16T22:28:44.653272
1930,Botín de Oro,Guillermo Stabile,../jugadores/guillermo_stabile.php,https://www.losmundialesdefutbol.com/mundiales/1930_premios.php,2026-03-16T22:28:44.653272
1930,Botín de Plata,-,,https://www.losmundialesdefutbol.com/mundiales/1930_premios.php,2026-03-16T22:28:44.653272
1930,Botín de Bronce,-,,https://www.losmundialesdefutbol.com/mundiales/1930_premios.php,2026-03-16T22:28:44.653272
