seleccion,mundiales_jugados,campeon_veces,campeon_anios,subcampeon_veces,subcampeon_anios,posicion_historica,partidos_jugados,partidos_ganados,partidos_empatados,partidos_perdidos,goles_favor,goles_contra,diferencia_gol,url,fecha_scraping
Grecia,3,0,,0,,52,10,2,2,6,5,20,-15,https://www.losmundialesdefutbol.com/selecciones/grecia_seleccion.php,2026-03-16T22:33:55.820256
Honduras,3,0,,0,,62,9,0,3,6,3,14,-11,https://www.losmundialesdefutbol.com/selecciones/honduras_seleccion.php,2026-03-16T22:34:12.251213
Hungría,9,0,,0,,18,32,15,3,14,87,57,+30,https://www.losmundialesdefutbol.com/selecciones/hungria_seleccion.php,2026-03-16T22:34:22.438364
Indonesia,1,0,,0,,77,1,0,0,1,0,6,-6,https://www.losmundialesdefutbol.com/selecciones/indonesia_seleccion.php,2026-03-16T22:34:31.017440
Iraq,1,0,,0,,74,3,0,0,3,1,4,-3,https://www.losmundialesdefutbol.com/selecciones/iraq_seleccion.php,2026-03-16T22:34:52.535842
Irlanda,3,0,,0,,42,13,2,8,3,10,10,0,https://www.losmundialesdefutbol.com/selecciones/irlanda_seleccion.php,2026-03-16T22:35:01.963935
Irlanda del Norte,3,0,,0,,43,13,3,5,5,13,23,-10,https://www.losmundialesdefutbol.com/selecciones/irlanda_del_norte_seleccion.php,2026-03-16T22:35:09.942507
Islandia,1,0,,0,,66,3,0,1,2,2,5,-3,https://www.losmundialesdefutbol.com/selecciones/islandia_seleccion.php,2026-03-16T22:35:17.531446
Israel,1,0,,0,,64,3,0,2,1,1,3,-2,https://www.losmundialesdefutbol.com/selecciones/israel_seleccion.php,2026-03-16T22:35:26.357796
Italia,18,4,"1934,1938,1982,2006",1,1934,4,83,45,21,17,128,77,+51,https://www.losmundialesdefutbol.com/selecciones/italia_seleccion.php,2026-03-16T22:35:34.521483
Jamaica,1,0,,0,,60,3,1,0,2,3,9,-6,https://www.losmundialesdefutbol.com/selecciones/jamaica_seleccion.php,2026-03-16T22:35:41.279744
Kuwait,1,0,,0,,67,3,0,1,2,2,6,-4,https://www.losmundialesdefutbol.com/selecciones/kuwait_seleccion.php,2026-03-16T22:36:03.501311
Nigeria,6,0,,0,,33,21,6,3,12,23,30,-7,https://www.losmundialesdefutbol.com/selecciones/nigeria_seleccion.php,2026-03-16T22:36:25.522256
Perú,5,0,,0,,37,18,5,3,10,21,33,-12,https://www.losmundialesdefutbol.com/selecciones/peru_seleccion.php,2026-03-16T22:37:10.360529
Polonia,9,0,,0,,16,38,17,6,15,49,50,-1,https://www.losmundialesdefutbol.com/selecciones/polonia_seleccion.php,2026-03-16T22:37:19.134378
RD Congo,1,0,,0,,83,3,0,0,3,0,14,-14,https://www.losmundialesdefutbol.com/selecciones/rd_congo_seleccion.php,2026-03-16T22:37:35.211728
República Checa,9,0,,0,,20,33,12,5,16,47,49,-2,https://www.losmundialesdefutbol.com/selecciones/republica_checa_seleccion.php,2026-03-16T22:37:43.379283
Rumania,7,0,,0,,28,21,8,5,8,30,32,-2,https://www.losmundialesdefutbol.com/selecciones/rumania_seleccion.php,2026-03-16T22:37:52.318085
Rusia,11,0,,0,,12,45,19,10,16,77,54,+23,https://www.losmundialesdefutbol.com/selecciones/rusia_seleccion.php,2026-03-16T22:38:02.652194
Serbia,13,0,,0,,14,49,18,9,22,71,71,0,https://www.losmundialesdefutbol.com/selecciones/serbia_seleccion.php,2026-03-16T22:38:18.162590
Suecia,12,0,,0,,11,51,19,13,19,80,73,+7,https://www.losmundialesdefutbol.com/selecciones/suecia_seleccion.php,2026-03-16T22:38:35.364677
Togo,1,0,,0,,75,3,0,0,3,1,6,-5,https://www.losmundialesdefutbol.com/selecciones/togo_seleccion.php,2026-03-16T22:38:50.965812
Trinidad y Tobago,1,0,,0,,68,3,0,1,2,0,4,-4,https://www.losmundialesdefutbol.com/selecciones/trinidad_y_tobago_seleccion.php,2026-03-16T22:38:59.731606
Turquía,2,0,,0,,40,10,5,1,4,20,17,+3,https://www.losmundialesdefutbol.com/selecciones/turquia_seleccion.php,2026-03-16T22:39:17.448920
Ucrania,1,0,,0,,53,5,2,1,2,5,7,-2,https://www.losmundialesdefutbol.com/selecciones/ucrania_seleccion.php,2026-03-16T22:39:24.601561
